"","ノート","アクア","プリウス","セレナ","フィット"
"2014年 X1月",10334,22885,20162,9910,26869
"2014年 X2月",12237,23973,23501,10496,18303
"2014年 X3月",17319,31146,28274,10966,31921
"2014年 X4月",5364,13683,8692,3256,15621
"2014年 X5月",6567,12138,9788,4613,12984
"2014年 X6月",7900,19812,13557,5232,16066
"2014年 X7月",8703,23909,16865,6591,16636
"2014年 X8月",6622,14543,10675,4655,13369
"2014年 X9月",9824,20255,15308,7830,17764
"2014年 X10月",8036,18031,13183,4628,13506
"2014年 X11月",7555,16520,13022,4610,11027
"2014年 X12月",6304,16314,10587,4122,8772
"2015年 X1月",9951,19968,11206,6552,11628
"2015年 X2月",10494,22788,13122,6819,12013
"2015年 X3月",13966,30414,18605,8241,17047
"2015年 X4月",5710,15555,8769,3428,8372
"2015年 X5月",6677,14428,8778,4175,7680
"2015年 X6月",7656,18087,10921,5620,10750
"2015年 X7月",9511,17711,9419,5517,11466
"2015年 X8月",5811,12390,6618,3975,6765
"2015年 X9月",9015,18345,9468,6133,8546
"2015年 X10月",6477,15536,8070,3743,10189
"2015年 X11月",6458,15237,6021,3802,7325
"2015年 X12月",6269,15066,16406,3791,8065
"2016年 X1月",8335,12720,21036,5738,7291
"2016年 X2月",9800,14010,19010,6569,10013
"2016年 X3月",13684,23314,31434,7565,15545
"2016年 X4月",5544,13099,20770,3411,7116
"2016年 X5月",6256,11225,21527,5333,8771
"2016年 X6月",7956,15041,28785,6600,9936
"2016年 X7月",9711,15748,27988,1637,9592
"2016年 X8月",5606,11220,17503,4392,7034
"2016年 X9月",5554,15493,20043,6488,10226
"2016年 X10月",1769,12480,14053,12408,7585
"2016年 X11月",15784,12409,13333,7293,6333
"2016年 X12月",12403,11449,12776,6068,6220
"2017年 X1月",14113,8225,9883,11179,6280
"2017年 X2月",14859,11379,15958,10983,8201
"2017年 X3月",24383,17798,22447,14577,11629
"2017年 X4月",9263,7762,9920,4354,6399
"2017年 X5月",9992,7551,15092,5999,4924
"2017年 X6月",11601,11453,17946,7252,8738
"2017年 X7月",12431,12005,12057,6467,11908
"2017年 X8月",9685,10870,10417,5244,7705
"2017年 X9月",15469,12896,13275,8187,8814
"2017年 X10月",2741,10031,10014,1351,7020
"2017年 X11月",6893,9985,11728,3192,9217
"2017年 X12月",7475,11660,12175,5648,7104
"2018年 X1月",12444,8741,9264,7823,7013
"2018年 X2月",13769,11167,11507,10408,8389
"2018年 X3月",19356,14778,15688,15080,12503
"2018年 X4月",7836,9495,8382,6143,6536
"2018年 X5月",8654,10325,9221,7397,5716
"2018年 X6月",11321,11638,9957,9244,7805
