"","month","ノート","アクア","プリウス","セレナ","フィット"
"1","2013-07",10,26,13,9,33
"2","2013-08",8.75,30.25,17.25,18.5,26.5
"3","2013-09",18.6,36,16.8,20,26.2
"4","2013-10",12,25.75,15.5,14,27.75
"5","2013-11",12.25,31.5,15.5,19,26.75
"6","2013-12",12.4,41.2,10.6,19.8,25.6
"7","2014-01",15,39.75,18.5,26.75,22
"8","2014-02",12.75,29,19.5,16.75,21.25
"9","2014-03",8.8,24,13.6,9.2,15.6
"10","2014-04",4.5,20.5,6.25,8.5,14.75
"11","2014-05",6,29,9.25,7.25,13.5
"12","2014-06",7,26,11,6.8,13
"13","2014-07",7.75,24.25,11,10.5,16.5
"14","2014-08",9,21.6,10.4,12.8,12.4
"15","2014-09",6.75,18.75,12.25,11.25,12
"16","2014-10",18.75,20,12.75,9.75,14.25
"17","2014-11",14.4,24.4,17.8,10.8,14.2
"18","2014-12",13.5,17.25,12.25,13.25,11
"19","2015-01",20.75,24.5,16,13.75,11.5
"20","2015-02",17.25,26.25,17.25,17.25,14.5
"21","2015-03",15.4,17.6,17.2,10,11.6
"22","2015-04",10.75,19.5,14.25,10.75,11.5
"23","2015-05",10.4,19.8,13.6,11.2,13.6
"24","2015-06",6.5,18.75,9,12.5,8.75
"25","2015-07",13,15,13.75,10.75,6.5
"26","2015-08",9.2,20,13.4,9.2,9.4
"27","2015-09",9,19,27,14,14.5
"28","2015-10",11.75,15.75,23.75,11,10.5
"29","2015-11",11,21,24.8,11.4,9.8
"30","2015-12",7.75,15,23.25,10.5,10.5
"31","2016-01",14.4,24.4,28.8,15,11
"32","2016-02",15,16.75,25.5,13.5,12.25
"33","2016-03",11,21.5,20.75,12.5,9
"34","2016-04",9.25,16.5,22.5,15,8.75
"35","2016-05",11.8,20.6,21.2,19,7.4
"36","2016-06",10,11.25,20.75,18.75,7
"37","2016-07",9.6,11.8,14.8,24.2,8.4
"38","2016-08",7.25,13,16,24.5,6
"39","2016-09",9.75,11.75,19.75,36.5,9.75
"40","2016-10",16.6,13.2,19.6,25.2,7.8
"41","2016-11",38.75,16.5,15.75,24.5,8.25
"42","2016-12",36.5,11.25,19.75,22.5,7.75
"43","2017-01",33,14.8,24.6,27.4,10.6
"44","2017-02",31.75,14,26.25,26.75,8
"45","2017-03",25,8.75,19,24.5,8.25
"46","2017-04",19.8,6,18.4,22.4,8.4
"47","2017-05",18.25,8.25,15.25,19.25,10
"48","2017-06",16,18,14.25,20,20.75
"49","2017-07",16.2,11.4,14,19.6,13.8
"50","2017-08",17.25,6.5,12,23.25,10
"51","2017-09",24.5,8,16.5,21.25,8.25
"52","2017-10",14,7.6,15.8,20.2,6.4
"53","2017-11",13.5,10,16.25,19.25,9
"54","2017-12",15.8,7,15,19.2,6.4
"55","2018-01",19.75,10.75,19.5,27.25,11.25
"56","2018-02",23,9.5,15.75,33.25,9.25
"57","2018-03",20.5,11,14,28.5,8.25
"58","2018-04",15,10.4,12,24.6,8.2
"59","2018-05",15,7.25,17.5,21.5,7.75
"60","2018-06",12,9.25,10,23.75,7.5
"61","2018-07",21.25,6.75,12.75,17.75,6.25
